# Length, Width, Layers
4.235847814563478408e+01,3.700551269695268530e+01,1.999288883630812919e+00
4.797454919813233687e+01,3.431787995542813263e+01,1.943001332702863238e+00
4.813133767762266757e+01,3.138845971735769780e+01,1.528325873812260705e+00
4.661520012845275573e+01,3.830749999208565271e+01,1.830112894169658277e+00
4.713652669382185678e+01,3.414932998097857109e+01,1.700224839910880359e+00
4.340233944236641861e+01,3.946466105733270524e+01,1.611302812137362706e+00
4.991780020496757686e+01,3.791551676893300282e+01,1.592084691693254950e+00
4.776587773532138215e+01,3.119613374770964498e+01,1.839355523738903875e+00
4.502343270433320299e+01,3.077823412981355489e+01,1.791141368315989579e+00
4.555447372510437276e+01,3.466627974225918507e+01,1.938529512294604462e+00
4.743926943361635296e+01,3.200969408879292644e+01,1.955058125322159057e+00
4.651372204403644872e+01,3.829046136493131769e+01,1.740657676676557797e+00
4.827650113181375247e+01,3.315776259505661727e+01,1.676071933572728545e+00
4.538411818361088734e+01,3.059849153436715952e+01,1.629528257997898244e+00
4.056539055855287046e+01,3.366384109145766956e+01,3.742260705492923112e+00
4.587249831585462090e+01,3.519499676652569775e+01,3.989849007034159012e+00
4.776830551406002456e+01,3.520853887578660135e+01,3.530117638540628100e+00
4.878340917214508465e+01,3.154241314175244781e+01,3.981546945682342020e+00
4.749049794561489080e+01,3.811049347756835459e+01,3.803113076781307722e+00
4.915204154128323921e+01,3.911907242815570385e+01,3.510672174267959189e+00
4.713945417572643493e+01,3.692633731879260495e+01,3.747512466360236161e+00
4.128955124650601505e+01,3.900137691818035535e+01,3.555243075116778506e+00
4.980917459846347128e+01,3.796321219877331998e+01,3.985428284056829362e+00
4.452077864544337160e+01,3.485675724580556079e+01,3.617648789902533579e+00
4.827767517217399273e+01,3.572619705746819818e+01,3.745882295881788338e+00
4.680182094963954853e+01,3.781727510187744912e+01,3.679689916218665147e+00
4.468401874832669307e+01,3.929146760850311892e+01,3.800512135813166825e+00
4.527339748217107740e+01,3.447608172488135381e+01,3.677161104764423261e+00
4.818252497884834895e+01,3.362222788299970233e+01,3.503039105429138100e+00
4.508556145009693950e+01,3.170720692570418109e+01,3.753837910005482836e+00
4.626285832986092572e+01,4.492749380923920199e+01,1.476680096805493614e+00
4.801533763355859463e+01,4.270989752450162769e+01,1.135062576721212357e+00
4.958623270590844356e+01,4.099727605371303696e+01,1.358924141695752930e+00
4.608827648300731283e+01,4.271060056181915598e+01,1.388804682040676752e+00
4.378406756164818603e+01,4.328061787717941655e+01,1.205574908717872429e+00
4.920146922532067180e+01,4.142276548265834180e+01,1.403403705316037309e+00
4.857056551462729033e+01,4.140358496731788307e+01,1.253623464201396809e+00
4.353866393178824978e+01,4.132025780850829477e+01,1.381372934766965876e+00
4.039375703708819998e+01,4.019395572111229598e+01,1.378926285443036415e+00
4.774641180765006965e+01,4.689291864714537184e+01,1.066839068370005084e+00
4.387602188471161213e+01,4.169881095792312919e+01,1.492508851325869745e+00
4.779320291276868460e+01,4.656927677268117804e+01,1.016441284715066784e+00
4.624836249385977283e+01,4.057117717805209622e+01,1.121487703312555650e+00
4.962739116878293544e+01,4.290372964421796809e+01,1.288481807452204864e+00
4.826119572094206944e+01,4.499179504606861713e+01,1.455688848686201409e+00
4.541615301866566057e+01,4.083582670107451662e+01,1.436183495361444740e+00
4.585336991100238890e+01,4.364540200024183036e+01,1.494778120468025051e+00
4.921765438615435073e+01,4.337622908655232123e+01,1.459166845367979803e+00
4.834122331081636759e+01,4.596298895571235477e+01,1.172133668683306373e+00
4.457952406319756022e+01,4.261346038934480163e+01,1.236789749425973639e+00
4.455448416890639862e+01,4.289686302099336501e+01,1.297054619973775358e+00
4.733544651557151894e+01,4.309580132449076473e+01,1.333652497572540563e+00
4.640276225305435531e+01,4.435733845046527790e+01,1.149688440986193605e+00
4.163484761519885069e+01,4.009790979109545361e+01,1.420979146035978413e+00
4.510915271141576710e+01,4.438498672707283532e+01,1.301878861783533736e+00
4.893131591008848602e+01,4.264753790605524841e+01,1.183240630094589907e+00
4.811756198229746673e+01,4.481806181192243344e+01,1.360263882430925664e+00
4.359366873116632490e+01,4.081890248194329018e+01,1.231718147095763438e+00
4.937337695687611472e+01,4.306210483620357365e+01,1.377235873640294983e+00
4.946802200440259156e+01,4.803292636871684351e+01,1.213645844937692786e+00
4.791146705163814801e+01,4.577575094696879887e+01,1.000500271795410789e+00
4.897460745526594650e+01,4.764770611930995869e+01,1.092919332664594956e+00
4.235950453686886874e+01,4.027735136990754938e+01,1.136032026053962252e+00
4.918844015694114802e+01,4.784556972368522310e+01,1.007621031023863800e+00
4.711304662422692502e+01,4.493302173951818190e+01,1.118312943352978817e+00
4.907401930888114094e+01,4.602944704374268525e+01,1.447515285074645330e+00
4.979983567945333789e+01,4.048803995780404819e+01,1.174613984446921666e+00
4.260232540989433403e+01,4.158698080781222473e+01,1.275319226140980700e+00
4.180980694885154492e+01,4.047515646960176383e+01,1.189740752373618982e+00
4.803459561575293435e+01,4.159573117490600680e+01,1.103902171351472727e+00
4.815325124103691934e+01,4.397203901422520289e+01,1.493833788696552256e+00
4.931673670680776667e+01,4.910305832763998524e+01,1.271677507996008094e+00
4.706838881201859692e+01,4.665001327653149588e+01,1.030159640226656181e+00
4.688785695093845618e+01,4.163325316389367003e+01,1.225751202570621201e+00
5.438944552931161525e+01,3.994324816380140675e+01,1.212456492859448565e+00
5.857971214489241873e+01,3.146386865043375991e+01,1.431939257626286821e+00
5.876326957365745329e+01,3.191400588709404929e+01,1.055429013487192424e+00
5.506277404434121081e+01,3.967802489151614509e+01,1.261697345299841899e+00
5.304722434218926708e+01,3.802948786793761116e+01,1.451029604254751249e+00
5.854337864335236929e+01,3.901898612231848062e+01,1.405716785673395419e+00
5.259474420344307077e+01,3.025997267596657281e+01,1.477990911186209955e+00
5.662218551015772761e+01,3.662596898489151442e+01,1.307739054790773903e+00
5.876847692344220064e+01,3.869468555218622896e+01,1.286360519621902565e+00
5.658803113168551846e+01,3.558801926232565904e+01,1.270719249339862467e+00
5.028491514245144600e+01,3.531288081932201806e+01,1.343505259286703168e+00
5.906972846110394926e+01,3.332787082442035143e+01,1.292228763552915494e+00
5.877518400337265092e+01,3.071768298606714609e+01,1.367253593740651141e+00
5.619468560098196974e+01,3.003045473097084184e+01,1.375963737652515340e+00
5.548635961671676142e+01,3.447342431524410244e+01,1.208193127072496376e+00
5.722531141291086954e+01,3.227338179683653152e+01,1.353611691274616335e+00
5.098295468902914251e+01,3.353612308013680376e+01,1.121036241415177326e+00
5.069241241395170761e+01,3.345510716115604311e+01,1.094171167234383901e+00
5.976013076432815296e+01,3.608256353753677104e+01,1.200722251170433852e+00
5.287675063334614123e+01,3.635133053714510254e+01,1.435440519208640353e+00
5.784496909638028228e+01,3.363355573751250205e+01,1.008116645250375143e+00
5.599321426913182620e+01,3.623998395994621546e+01,1.394831364333938062e+00
5.653866785854339128e+01,3.157373255212126040e+01,1.401824522304915721e+00
5.041061121145909851e+01,3.039684909789187017e+01,1.154276704493339079e+00
5.512682730617393645e+01,3.124251606997218644e+01,1.168372645813339661e+00
5.560495297014169580e+01,3.409892827888663192e+01,1.072598002164361741e+00
5.317942402291279080e+01,3.040779317849359131e+01,1.008319868307268719e+00
5.737658887805229568e+01,3.050968052233447736e+01,1.251345369192164991e+00
5.897932692481241190e+01,3.471927888375877558e+01,1.088367421904138599e+00
5.920102390171726370e+01,3.539245781618936348e+01,1.038165531524784857e+00
5.653034310900456205e+01,3.515085546507819458e+01,1.450430251391767511e+00
5.592190502604550062e+01,3.042917975844133238e+01,1.418183949315733328e+00
5.685035489519334106e+01,3.258378318603052293e+01,1.242811831827717040e+00
5.028324456331248626e+01,3.790466140882728041e+01,1.218104619581589887e+00
5.989337872502210303e+01,3.767161429825220864e+01,1.257850431593167784e+00
5.654064507382471305e+01,3.148240791998686205e+01,1.040793593706836662e+00
5.042517414759999639e+01,3.864206599544707643e+01,1.319453862741134298e+00
5.760186232803754081e+01,3.341570589225178622e+01,1.146910382902156522e+00
5.189434372573592924e+01,3.952956933547709184e+01,2.471371177941704467e+00
5.844483673224000597e+01,3.237352522407385180e+01,2.302697426612910547e+00
5.246265739321962940e+01,3.598572907782952512e+01,2.240096277512499512e+00
5.156899457870041914e+01,3.887793464151642553e+01,2.467346433834727293e+00
5.520543304033605381e+01,3.025147512402707051e+01,2.487899649226899879e+00
5.801641257668091356e+01,3.978586614385962861e+01,2.297929410246343451e+00
5.733536650521921274e+01,3.894043177369422892e+01,2.377815039504280747e+00
5.397514063730773870e+01,3.449252224344508733e+01,2.013148380662036718e+00
5.286571771297172972e+01,3.393613924441242347e+01,2.222379725196429234e+00
5.547453698829207269e+01,3.647728447606242241e+01,2.423625534653011115e+00
5.248922246738781894e+01,3.309965437322173187e+01,2.156161958552824220e+00
5.524962592063528177e+01,3.668541327276565767e+01,2.055063326807728963e+00
5.409275200774156644e+01,3.682429667819224761e+01,2.281682436074818465e+00
5.068293627061591877e+01,3.344776247539945047e+01,2.242163969165567039e+00
5.700245530216511725e+01,3.306573874319737172e+01,2.317163745391336516e+00
5.298392575207699906e+01,3.330834056099934060e+01,2.079747837768653351e+00
5.636250184185395540e+01,3.830994380168963431e+01,2.457873481626621892e+00
5.225840753288283480e+01,3.505785300563880469e+01,2.018461849327553459e+00
5.302689780591065727e+01,3.205351699170376634e+01,2.203221695442852734e+00
5.883034913901668261e+01,3.436505711608012348e+01,2.068885050477787590e+00
5.183116017320945446e+01,3.360956858343660514e+01,2.074307372556880580e+00
5.298042441517478807e+01,3.813341156819865319e+01,2.233217852689622696e+00
5.106403671286655310e+01,3.373265273211944049e+01,2.163355159612230683e+00
5.850900844444962701e+01,3.858443459566890255e+01,2.256309721803197554e+00
5.906494987192841961e+01,3.669305248626030647e+01,2.226329633980241862e+00
5.327951728984002244e+01,3.958158389802797927e+01,3.684906385312651356e+00
5.968737032012874266e+01,3.325654220622000423e+01,3.867757147945501295e+00
5.354173498042029422e+01,3.748044876519067259e+01,3.806156145328916995e+00
5.548671233308175488e+01,3.176897928363874613e+01,3.993972803014273154e+00
5.181475428327889432e+01,3.223387000829225002e+01,3.511579837012884120e+00
5.922123385349419777e+01,3.237383559286752899e+01,3.704025232073857143e+00
5.986304961103270728e+01,3.218364372690945885e+01,3.989184054433406512e+00
5.664219077830106386e+01,3.185230182804963661e+01,3.975214684703090473e+00
5.944615148122146309e+01,3.038829211490247673e+01,3.958581696383423498e+00
5.585237756910719042e+01,3.416440112211459024e+01,3.658690510629088788e+00
5.186849610186344250e+01,3.082054795589067453e+01,3.521415726831182091e+00
5.944421814066457443e+01,3.592711766365651727e+01,3.913863521202671780e+00
5.752490680474002005e+01,3.834706839249049182e+01,3.563916556229922428e+00
5.530815841900292185e+01,3.114508522399640000e+01,3.950699682085823117e+00
5.016676472817420773e+01,3.320845547463081004e+01,3.828010452772052652e+00
5.527157022310418455e+01,3.728216856422285019e+01,3.703265240320182450e+00
5.091221273120690682e+01,3.943848163319800193e+01,3.897485363173537554e+00
5.632748356038148074e+01,3.830579367950905123e+01,3.694576854103541308e+00
5.949690889428983098e+01,3.047677620792903141e+01,3.989334957463748665e+00
5.599847125648906854e+01,3.163831831769937253e+01,3.588064596672430717e+00
5.587596343579444635e+01,3.522675589124857964e+01,3.951464584539810865e+00
5.526522679957135153e+01,3.930015557993258568e+01,3.563044676491470053e+00
5.636447270992169223e+01,3.227351333194118865e+01,3.704009365675334564e+00
5.631634973645097375e+01,3.431632924840359777e+01,3.715878199127652159e+00
5.316954794444286136e+01,3.834130666849056013e+01,3.673938161744684905e+00
5.069103903974757941e+01,3.729042746675349207e+01,3.607844451426872379e+00
5.548958770152538023e+01,3.284385205503508587e+01,3.719439417751891686e+00
5.611787241500356771e+01,3.884062714163004415e+01,3.631311967796113649e+00
5.976885908598433872e+01,3.329748298011843843e+01,3.900898191654999625e+00
5.735276307007342922e+01,3.323653374319874132e+01,3.582066081806669189e+00
5.352805697009814168e+01,3.498000709970672517e+01,3.593500442796389027e+00
5.336644398487639762e+01,3.038474138068496089e+01,3.830107212584424659e+00
5.738966036912502489e+01,3.783987941358742546e+01,3.740444013177199434e+00
5.303497178582583871e+01,3.330656563749211330e+01,3.576547475252638275e+00
5.952670267330746157e+01,3.596048816361231815e+01,3.801092569290527745e+00
5.024019818033070806e+01,4.855070307009293629e+01,1.037414665366997113e+00
5.633792312918790657e+01,4.116592754251701791e+01,1.327631778140265340e+00
5.043317881554383320e+01,4.675088889654394109e+01,1.476058637902161408e+00
5.813218889575050952e+01,4.051602151647826133e+01,1.286517039561550613e+00
5.909499757358410221e+01,4.673470988973461715e+01,1.200349945038762023e+00
5.010004896783006245e+01,4.518216531221862198e+01,1.139560293673964164e+00
5.884434436567900661e+01,4.658096313703249791e+01,1.495873856366688459e+00
5.629058554649538593e+01,4.513586297124948032e+01,1.370199904322239703e+00
5.950236240113849817e+01,4.233941984050986207e+01,1.363462085352444397e+00
5.932971842508054294e+01,4.116339111420763430e+01,1.033110096300130953e+00
5.959397799742639990e+01,4.593575005603541683e+01,1.226176622985680531e+00
5.797237134552133853e+01,4.245818655252909934e+01,1.139814596365349875e+00
5.293881365944288575e+01,4.562794798947700770e+01,1.142780964046704151e+00
5.056126563049176781e+01,4.805000603643998147e+01,1.079310984668281570e+00
5.103980622694147939e+01,4.765408629674004715e+01,1.005717604562269774e+00
5.949734109308896990e+01,4.240286387620336939e+01,1.458853687110420738e+00
5.143684812062724632e+01,4.606678540636350760e+01,1.489307640416033918e+00
5.996895475139250209e+01,4.251453586463361489e+01,1.027809688412921529e+00
5.603773191758839545e+01,4.931012298563416607e+01,1.405702261611111226e+00
5.098870079987472081e+01,4.294924768356533207e+01,1.449225919676426555e+00
5.661679543955450100e+01,4.296826287663603949e+01,1.069586170763887623e+00
5.447700447192289630e+01,4.441624446556129868e+01,1.473524818980713968e+00
5.419904865556297580e+01,4.641244036274456874e+01,1.395229708438699756e+00
5.769815756904773707e+01,4.175807813018515446e+01,1.430867626208110810e+00
5.165143842234977711e+01,4.128551124254644122e+01,1.278740747818702284e+00
5.360019474376462512e+01,4.002219848786248946e+01,1.305499650820535429e+00
5.693672323555732362e+01,4.227207077203115659e+01,1.080920552497043996e+00
5.462158725419398309e+01,4.001390033041280958e+01,1.034933529668602414e+00
5.010219285044304627e+01,4.907869291334175443e+01,1.266006846229173366e+00
5.310800696000431742e+01,4.020571906009077168e+01,1.339533027212323146e+00
5.938540259335270832e+01,4.381694195353985322e+01,1.467592017125499471e+00
5.977915829079333321e+01,4.313806254824631026e+01,1.372558527552770746e+00
5.578976145050276614e+01,4.808609856171594998e+01,1.349041824011177892e+00
5.543961389239698434e+01,4.610005768119512481e+01,1.133508535146454221e+00
5.752173213748634595e+01,4.229556252430069918e+01,1.079164992168137438e+00
5.056181000859115215e+01,4.340090997034141651e+01,1.348918941340792044e+00
5.994171194650659373e+01,4.326911471238263829e+01,1.272140164209506263e+00
5.048976650507550801e+01,4.682014302691719365e+01,1.184751056161218896e+00
5.988831662391317678e+01,4.221402945967398068e+01,1.237991989548478555e+00
5.478650307471971104e+01,4.299939274566222736e+01,1.358725149692743273e+00
5.761585073498559240e+01,4.405025427766760515e+01,1.303485416129430696e+00
5.176764858768751054e+01,4.922270129440590836e+01,1.317462598929842299e+00
5.038653985508130262e+01,4.715891458449637241e+01,1.437854828232908888e+00
5.915990639645486482e+01,4.202818516041546815e+01,1.172490649165350840e+00
5.991399999608655946e+01,4.532016976276000264e+01,1.209519250854180772e+00
5.256475013771295579e+01,4.273124361659962744e+01,1.085201863760552055e+00
5.401488158175212106e+01,4.114467599065689996e+01,1.473557021286372004e+00
5.040157841658673021e+01,4.846026379868021650e+01,1.449535267983816489e+00
5.954454802405081892e+01,4.619726064233184104e+01,1.320271037321093077e+00
5.349608512783640890e+01,4.518045744625239735e+01,1.088077627779020728e+00
5.880283446936672931e+01,4.353110188464858510e+01,1.178603217081072074e+00
5.100603899293626142e+01,4.011452160807260015e+01,1.331648804843976297e+00
5.025253407441162778e+01,4.435472573184060252e+01,1.310773123505176274e+00
5.675199376366761328e+01,4.811377499934384616e+01,1.435623026037278205e+00
5.428241320116052293e+01,4.010684760370045154e+01,1.408353380645375852e+00
5.681010636755163290e+01,4.343226079906320081e+01,1.208053606031084470e+00
5.284297982221200130e+01,4.311758332474501287e+01,1.390434467003239138e+00
5.213591936107610536e+01,4.149850376173465349e+01,1.252700407295553209e+00
5.180205821878233508e+01,4.367869240457824276e+01,1.060159783782371301e+00
5.153271681512193680e+01,4.979620657758182745e+01,1.041613803454747966e+00
5.000873244741059409e+01,4.456128818350016729e+01,1.028993180124032181e+00
5.920301378355932798e+01,4.432340133832668982e+01,1.423156232364711338e+00
5.410217044670997666e+01,4.406990315747160025e+01,1.068550070211419012e+00
5.901439527092335169e+01,4.245095340062317746e+01,1.329918175618860054e+00
5.289789784844046494e+01,4.087689302214641884e+01,1.271028267158915703e+00
5.244183810716558725e+01,4.992159906877967046e+01,1.379103271928272534e+00
5.542984314787160827e+01,4.842873280106796585e+01,1.162193187039094244e+00
5.320106074328344192e+01,4.229923342973662415e+01,1.211985424969137526e+00
5.640349880014760942e+01,4.044657873922336222e+01,1.069207927013662074e+00
5.666238050937616322e+01,4.857050827403527649e+01,1.160361660712596166e+00
5.894904403047959818e+01,4.891559784125465171e+01,1.314644527729113221e+00
5.004849655228198912e+01,4.532218889122071914e+01,1.315965366420486893e+00
5.002301920301796656e+01,4.706138153637101595e+01,1.466044511298823405e+00
5.889301652852746827e+01,4.075276250141645562e+01,1.480548682895672652e+00
5.975353939405886194e+01,4.334618619239409298e+01,1.062997666947208319e+00
5.682287960260061510e+01,4.168261899169494455e+01,1.119168008753030907e+00
5.753284901607145230e+01,4.762703829290549606e+01,1.475399951548358901e+00
5.201119558459895131e+01,4.789624562424364029e+01,1.113068464199750141e+00
5.091100128740663422e+01,4.766961713215228968e+01,1.105681101844325553e+00
5.477738504930145780e+01,4.947474325106790616e+01,1.132348742092011973e+00
5.597019839513682626e+01,4.290269519159618028e+01,1.233196685851687624e+00
5.861432610378283670e+01,4.120719943384260375e+01,1.009252231250250098e+00
5.438394354928043128e+01,4.645810726947684088e+01,1.225628448278295535e+00
5.787820198116261849e+01,4.249615094776393676e+01,1.323641771455951410e+00
5.130916880126495982e+01,4.367640046678690169e+01,1.112343485452100600e+00
5.649614013324366368e+01,4.628477178482842191e+01,1.495972623541324653e+00
5.489123603689372999e+01,4.202946115309953257e+01,1.478501698001231768e+00
5.810107155211677110e+01,4.013626578475788165e+01,1.432981114412814172e+00
5.046321582747592061e+01,4.431259209239647134e+01,1.219987477491573102e+00
5.764652137243321306e+01,4.701097301848928112e+01,1.102331169089417751e+00
5.669535468237546638e+01,4.996167221732563490e+01,1.016306194475103286e+00
5.405746537258070816e+01,4.904553618311199159e+01,1.386054512966519603e+00
5.533360523484508775e+01,4.680390691920366208e+01,1.090304239739167569e+00
5.844638873215088637e+01,4.197107125392016513e+01,1.233432143196034669e+00
5.516220401301613663e+01,4.135968635196758925e+01,1.287483946306185567e+00
5.227162873235528195e+01,4.508304001877246492e+01,1.171941045448011254e+00
5.184652639950085984e+01,4.383603317479738593e+01,1.317300064313347896e+00
5.436812347347211016e+01,4.952770336735598278e+01,1.369384499822926760e+00
5.412600542654147517e+01,4.225654353682908493e+01,1.483779376842354392e+00
5.704436064619805791e+01,4.522557910872574638e+01,1.469466486483040679e+00
5.631166802289807549e+01,4.981894651277218600e+01,1.404047348884727153e+00
5.955556632401599870e+01,4.061030093981712952e+01,1.437551978123483343e+00
5.528679120471940678e+01,4.221367693111006503e+01,1.370221339218886225e+00
5.160716277634782756e+01,4.043974853751193166e+01,1.192829248831052347e+00
5.849835066484176593e+01,4.084510407041536695e+01,1.155882929667154668e+00
5.289349368011725971e+01,4.634135400985100262e+01,1.310570449736569998e+00
5.597314290702461648e+01,4.094875334795517574e+01,1.320357159514689682e+00
5.942708929598759227e+01,4.443277837893308657e+01,1.297678668914240996e+00
5.813567201172129728e+01,4.013168078294450680e+01,1.017481123788126496e+00
5.543139684823444924e+01,4.946404093458460238e+01,1.427921148066685353e+00
5.545083865394109068e+01,4.911511090622475706e+01,1.236699379245450814e+00
5.639791427691391590e+01,4.825286110343578372e+01,1.200698558347142786e+00
5.557807186550522260e+01,4.993245742181235869e+01,1.285132568961075306e+00
5.763364328319705976e+01,4.476096198102979429e+01,1.432066793520877290e+00
5.232516399864748280e+01,4.753447636892974515e+01,1.482511335705479327e+00
5.074163530123683330e+01,4.388084860841666313e+01,1.494684449071162158e+00
5.094751166534210540e+01,4.028560099675571138e+01,1.376111828583544749e+00
5.157115266132364439e+01,4.346603179864098365e+01,1.360803487482566521e+00
5.405829823677155588e+01,4.940388191690438191e+01,1.449243619385651272e+00
5.580529873153237475e+01,4.577236220107677411e+01,1.449203695620409293e+00
5.372716518242942385e+01,4.475639087308422148e+01,1.491454032916921246e+00
5.024913200502096089e+01,4.787555096502943996e+01,1.209802610773861975e+00
5.233150652170429140e+01,4.094136902177548620e+01,1.273339104465516236e+00
5.780881368658998554e+01,4.933664513619181946e+01,1.304738771085227622e+00
5.572552412458384197e+01,4.596306058396931604e+01,1.409622078954449131e+00
5.915432972783264631e+01,4.573734057724361435e+01,1.273675922957461237e+00
5.944887901669150665e+01,4.633256681155296519e+01,1.027831945352023268e+00
5.768673300164132201e+01,4.799513406358343559e+01,1.374841998239789476e+00
5.538286445697299598e+01,4.927614577766782844e+01,1.238242897808654819e+00
5.252438112211122245e+01,4.836686890503924019e+01,1.424473456744383526e+00
5.778724905870784312e+01,4.372248875151993275e+01,1.350257770536615443e+00
5.258801027380924609e+01,4.774322546325873873e+01,1.199467501844304174e+00
5.531511520014951344e+01,4.533679344961674218e+01,1.010326352916791848e+00
5.020476349087093837e+01,4.993066818087079639e+01,1.114208523189959887e+00
5.670652088720589035e+01,4.438785268436521392e+01,1.103004593915101417e+00
5.102504517297074926e+01,4.584504457806252020e+01,1.118492765993139848e+00
5.390215902283024718e+01,4.847915234773673632e+01,1.087833399611409124e+00
5.570474895913868352e+01,4.743530833845495209e+01,1.331922080621955606e+00
5.473772421329393723e+01,4.368693556247481524e+01,1.249229140115290626e+00
5.530043685897378225e+01,4.211896911769910190e+01,1.309717323459791860e+00
5.238537454040376673e+01,4.904081391560974623e+01,1.043397602157255744e+00
5.323108203027780405e+01,4.164393015230400863e+01,1.137467306739552653e+00
5.912538296449306330e+01,4.995484483542465881e+01,1.323708919417657670e+00
5.496550671481236350e+01,4.696967627145773605e+01,1.448289977129930239e+00
5.347908986051402991e+01,4.755582248304612136e+01,1.317992130942098772e+00
5.838006109911943042e+01,4.042861086728085951e+01,1.395230538143440668e+00
5.800963522574633657e+01,4.772919711315270774e+01,1.309490461695252073e+00
5.241896185863699742e+01,4.799263531811929084e+01,1.426209166901146963e+00
5.633729091050540916e+01,4.300101380242190174e+01,1.229763790497591547e+00
5.193214151390660760e+01,4.533193107897258756e+01,1.421141974649923645e+00
5.153261481650216069e+01,4.058069168169993191e+01,1.129672478471589248e+00
5.822579047239787542e+01,4.983357677477441428e+01,1.326213177120586062e+00
5.591338539113857564e+01,4.896315050652269463e+01,1.406715119579263096e+00
5.534343445011145946e+01,4.361889699377424989e+01,1.294481655361423122e+00
5.629029072322116178e+01,4.155649724203403395e+01,1.169216879894541705e+00
5.793689796094957245e+01,4.318561692622681392e+01,1.310199529081363057e+00
5.258850525384793428e+01,4.552222304396518382e+01,1.150846878970977372e+00
5.451612340370664356e+01,4.023691690348776007e+01,1.242495971292414181e+00
5.549924707634136212e+01,4.826592043699707091e+01,1.203587244622554175e+00
5.001730419614311529e+01,4.144873498532350453e+01,1.029577223944641240e+00
5.856341690825119173e+01,4.415328225535323270e+01,1.415171173236498214e+00
5.672286900510845697e+01,4.022035475991691555e+01,1.058701489099571180e+00
5.773606167092885499e+01,4.793973458522333431e+01,1.027626443261511868e+00
5.885304944758016887e+01,4.689802519022489946e+01,1.278297458174205481e+00
5.221585328171055806e+01,4.995155499050802206e+01,1.010343005784046566e+00
5.187207328258929095e+01,4.733518783918715656e+01,1.299997605120083222e+00
5.129808827276318794e+01,4.896478739936560487e+01,1.152137392115557102e+00
5.914402773727912432e+01,4.591902892812489512e+01,1.446074595416507513e+00
5.031481500409279306e+01,4.533095805220197860e+01,1.221079511889338054e+00
5.378415683078005571e+01,4.695389482144914695e+01,1.393004338657978458e+00
5.829932616532474299e+01,4.570901307318790430e+01,1.016768808935726742e+00
5.805468752172491520e+01,4.852122602858438682e+01,2.120602396905570064e+00
5.262814874945277666e+01,4.737271662123202276e+01,2.320983219982470480e+00
