Length,Width,Thickness
18.32988,3.55508,1.41943
11.39003,7.88636,1.05303
13.14247,0.68169,1.49224
19.14293,4.41482,1.36624
11.16812,6.31677,1.37339
12.79593,8.22866,1.28502
19.30129,8.62533,1.33256
17.20589,3.39133,1.27181
16.87395,9.90753,1.03739
15.41013,2.286,1.01018
14.09602,9.26763,1.26363
15.24414,6.55059,1.23518
10.23649,5.74415,1.02592
18.89787,3.99741,1.15783
19.17347,8.52935,1.1809
13.39273,4.79774,1.34533
13.49252,2.39832,1.32902
18.53907,8.34736,1.25951
14.21834,2.61431,1.49851
18.1959,5.6666,1.40152
13.2994,4.74248,1.42328
15.70965,4.04876,1.26176
13.56746,9.97507,1.07425
10.52949,8.41415,1.40062
18.92458,4.74114,1.17045
13.52569,1.36685,1.31617
14.68418,2.37488,1.23632
17.10403,0.13908,1.32525
17.7188,4.053,1.13333
17.58385,6.94828,1.45514
17.71714,4.91763,1.27185
12.10673,8.00433,1.21395
16.93567,1.33165,1.45377
13.49064,6.57274,1.03942
16.74224,9.17286,1.24168
19.35748,2.90863,1.27953
12.20866,3.45035,1.21162
12.57223,6.42306,1.04934
19.52815,2.87163,1.45065
13.59296,8.6555,1.33312
14.78605,4.98635,1.38964
17.99178,4.08147,1.07615
17.28909,3.9043,1.05774
19.9867,4.51391,1.0068
14.64544,3.83382,1.28241
12.25192,2.55782,1.21566
18.14055,1.77942,1.41166
11.6211,6.21103,1.41215
15.85819,4.92292,1.04161
14.50533,9.88004,1.39721
11.5318,2.10845,1.2797
12.69078,2.83371,1.13726
13.79894,7.85676,1.38793
10.89531,7.14484,1.43188
18.8027,7.02542,1.09031
16.41805,4.97683,1.46623
18.11949,7.75371,1.02495
11.92461,5.77205,1.02722
17.87952,3.89221,1.10504
17.39424,2.52888,1.49984
19.3086,9.76631,1.01032
10.62117,1.44121,1.19942
19.97885,2.88268,1.03788
12.59011,2.94968,1.45508
13.10756,4.39165,1.104
18.35454,8.09773,1.42779
17.35881,7.8292,1.18269
12.54617,7.37711,1.19875
18.08904,9.87815,1.49237
13.85864,1.87797,1.4683
17.62395,8.58263,1.13392
19.21313,6.75098,1.12665
18.51652,5.82719,1.42561
19.86542,2.55461,1.23705
13.44496,9.12758,1.2879
12.48471,1.98395,1.38296
16.03696,9.44028,1.49243
15.50364,3.9366,1.19776
13.99544,1.25396,1.44987
15.07857,0.82757,1.04845
13.81855,1.48235,1.00768
16.19277,2.23837,1.1719
19.27444,3.37066,1.44855
11.48306,1.09599,1.07116
12.0286,9.074,1.28032
11.19749,9.87717,1.16508
16.94673,4.43097,1.41617
15.67018,2.92467,1.12293
11.31491,4.01156,1.24693
18.56575,0.01937,1.3196
13.8467,9.02077,1.1069
18.22052,5.71139,1.30189
11.40003,2.01565,1.3406
18.18623,0.87876,1.31592
11.63223,5.59304,1.28292
10.87472,1.25815,1.09175
15.24496,6.19033,1.37645
11.72048,9.27796,1.44396
11.48978,7.19713,1.20759
12.03071,0.19142,1.26971
11.52836,6.09731,1.32003
12.91033,5.01429,1.10349
13.94514,1.77937,1.42957
14.7655,5.09819,1.46041
14.26435,2.71796,1.00176
14.041,5.80769,1.38759
13.08163,8.5938,1.38938
17.0765,6.07055,1.07983
14.14682,6.64668,1.09328
13.50526,4.20369,1.12166
18.68952,6.99181,1.20198
12.32313,8.23882,1.40561
11.32034,8.49968,1.03621
12.14354,3.84751,1.19022
11.44074,8.08653,1.31166
15.69228,8.92248,1.18877
12.44361,6.00351,1.30174
13.98683,9.18743,1.40533
19.51128,2.72702,1.07575
10.42562,9.68583,1.1137
14.01302,1.6906,1.19074
11.6848,2.94475,1.47913
13.40063,7.91686,1.30602
15.71203,3.44374,1.37346
12.88198,1.13126,1.23201
14.83492,5.81574,1.36392
11.9616,7.33681,1.37438
12.08615,3.69165,1.03433
19.3175,2.98551,1.27572
10.84178,3.99488,1.10292
18.54509,3.51907,1.09523
18.78484,2.28406,1.35864
16.00409,9.0735,1.29998
12.51475,9.00398,1.08701
19.05778,5.21321,1.17939
18.38023,8.79889,1.3659
19.47765,2.66743,1.36734
13.53988,4.35168,1.37264
15.13653,5.97512,1.3923
12.77589,8.76611,1.08466
14.50793,1.72297,1.33924
17.52783,8.62659,1.47946
17.72223,8.97338,1.29146
19.3096,5.18567,1.33882
19.46706,4.90219,1.23882
10.00391,8.91795,1.1334
14.51122,3.02551,1.28538
10.207,8.29872,1.37149
14.3283,9.81788,1.42839
11.076,8.41377,1.05353
15.17969,1.12897,1.1213
11.30256,6.77537,1.04051
18.88711,1.42169,1.29422
12.47487,6.60087,1.06974
16.88533,7.24618,1.30431
19.76068,5.62554,1.28052
12.55403,1.99099,1.4816
17.54167,5.04728,1.2432
10.49436,2.14056,1.23723
12.2586,5.31857,1.26643
17.37554,1.20357,1.24965
16.87337,6.35711,1.00632
18.13546,5.22212,1.38752
10.21959,9.71884,1.34656
13.9022,6.74737,1.14702
14.58573,1.19183,1.04944
15.03816,9.26422,1.09489
14.70912,0.82764,1.08206
19.04323,0.49597,1.41101
17.8447,6.5027,1.15562
11.8464,8.46215,1.24545
17.79917,8.48997,1.13697
15.57906,2.68264,1.45191
12.92361,5.75783,1.0239
15.20057,5.03197,1.39545
11.39611,0.76366,1.13621
19.18199,1.44351,1.09092
12.92896,3.24702,1.09887
17.23491,5.72821,1.48094
19.37941,8.45477,1.34124
13.49732,3.12347,1.04561
19.12348,9.22472,1.41077
13.58966,4.71681,1.48324
18.77448,7.21983,1.39991
12.3495,1.57954,1.22927
12.15937,6.10785,1.17431
12.66427,6.95011,1.49197
13.4345,0.79006,1.10816
12.65686,1.42794,1.38937
17.75097,4.70795,1.47345
14.86355,2.02762,1.29174
16.88393,0.70121,1.1448
19.24345,7.51626,1.40512
16.66061,3.62158,1.16571
11.23422,7.78441,1.43679
17.21381,7.6874,1.20966
18.17717,9.22173,1.04103
15.15941,2.73737,1.18154
15.64333,9.10409,1.26274
17.30496,9.58626,1.44382
19.83092,9.8086,1.19248
12.90034,3.33009,1.04022
11.16467,4.12004,1.06726
11.55701,0.30187,1.43336
13.12023,9.391,1.21224
14.44526,6.64992,1.23594
19.12814,0.28261,1.30528
17.07297,4.46645,1.45143
12.5355,1.35294,1.49558
17.64909,2.86925,1.06865
19.9493,6.65581,1.47529
16.86926,0.29811,1.3543
17.98126,3.8376,1.04276
14.16863,5.1241,1.35448
13.32129,7.343,1.37655
12.93734,6.06397,1.37348
18.8414,2.76497,1.14439
16.78806,0.4809,1.24917
12.44357,7.42559,1.34949
11.85887,5.78031,1.14659
15.84577,9.10703,1.21997
13.21249,6.0962,1.31157
14.68222,5.74721,1.45124
13.92648,9.91822,1.01182
13.88249,1.08617,1.05076
18.96766,0.1611,1.06632
11.54086,2.92601,1.08441
10.10658,8.66268,1.16902
16.36651,4.84577,1.06619
19.90014,5.19559,1.39199
14.6483,3.87942,1.32573
14.24282,3.95766,1.05473
12.70521,5.12761,1.49257
14.17576,6.50648,1.44512
11.15279,1.16719,1.47668
16.76062,3.88628,1.31679
19.74625,8.72025,1.03601
18.1223,5.39832,1.142
19.2055,0.60365,1.3952
11.10097,0.10462,1.26692
17.28548,4.47951,1.07902
10.81431,2.88962,1.10916
16.77379,1.3855,1.29821
13.16124,0.0641,1.00561
12.9707,0.71125,1.20342
19.17031,1.39395,1.35682
17.56122,3.87129,1.01974
19.89467,7.90783,1.36267
12.65576,2.19411,1.18014
12.94385,3.54667,1.32626
14.34252,3.24492,1.06631
12.6891,4.76321,1.17285
19.6085,5.09125,1.03482
15.5711,1.47449,1.03525
16.93691,5.00932,1.27677
17.82875,2.7432,1.35564
17.29604,3.66434,1.47209
19.21112,9.8807,1.25098
19.84498,5.94845,1.32259
11.76203,5.099,1.25201
11.54133,9.58531,1.14534
12.64757,6.80413,1.2998
17.87567,5.92073,1.47442
15.93866,8.39425,1.07403
17.16484,7.25188,1.28281
10.03787,0.49297,1.22594
14.17987,7.72693,1.17871
11.97667,8.37219,1.03883
19.19477,4.07311,1.44511
19.51817,4.01307,1.34262
17.47266,5.54818,1.42453
18.9132,9.07489,1.08891
18.42843,8.68034,1.03545
11.59779,7.3895,1.45855
13.05835,4.54829,1.31937
18.43115,2.82686,1.08886
15.35213,1.46013,1.06178
13.71894,4.52413,1.2189
10.07832,4.61915,1.22559
15.78082,2.60077,1.00085
17.96692,4.00757,1.26256
18.95708,5.02223,1.29811
16.85219,7.67105,1.15337
17.90708,1.42791,1.14534
18.98134,6.70864,1.48583
15.76033,3.21051,1.18717
19.17892,7.37871,1.21359
16.31293,8.97919,1.33247
14.2013,3.5356,1.32834
19.96202,3.7007,1.24167
14.55977,8.99537,1.28041
12.95174,9.04741,1.09576
19.80339,6.78027,1.22854
11.68804,2.50012,1.37922
11.40799,8.13009,1.43276
12.89896,8.63546,1.06169
18.8703,1.95249,1.40249
18.82044,1.62155,1.48905
17.53846,3.80516,1.30507
11.3095,3.88265,1.12578
18.15556,8.84106,1.00633
18.52254,5.42845,1.19027
14.06461,6.63586,1.45536
19.12981,9.76223,1.47349
15.01105,0.82101,1.28135
12.43216,5.13371,1.47735
18.35799,6.90528,1.10528
15.06256,0.57234,1.45775
14.5511,1.70706,1.23193
11.45766,3.12896,1.10786
10.90047,9.67859,1.23754
15.3317,4.43468,1.07176
16.60691,2.50279,1.32955
14.95457,0.44546,1.1143
11.36863,6.74152,1.46549
18.63036,5.06766,1.22895
14.43227,8.53829,1.12151
16.9282,4.87159,1.29333
10.11149,4.75633,1.29973
16.52076,8.01755,1.27237
18.47124,0.63458,1.44668
16.23562,0.44589,1.47729
18.56283,7.30773,1.41515
19.19454,2.93902,1.22062
10.03091,8.8997,1.45181
19.07644,4.05714,1.16034
14.64049,1.82993,1.23985
11.09304,3.39938,1.14244
13.22762,4.38453,1.39629
14.7427,9.04196,1.23228
11.59167,7.69576,1.19688
17.09672,7.6425,1.0957
10.9283,6.06504,1.26768
16.93816,2.19047,1.24711
17.15079,4.32132,1.47867
18.44459,2.99267,1.21017
11.04559,4.54847,1.11432
15.46884,3.44848,1.1654
16.15642,4.70482,1.44675
10.5113,9.27762,1.04354
11.10196,2.37049,1.42766
14.85396,8.4711,1.238
12.79922,2.01484,1.39282
15.41515,7.6055,1.0247
13.00801,1.54683,1.47478
14.16125,1.34307,1.07739
15.29112,0.98092,1.47695
17.72071,2.67486,1.13982
12.94553,8.0232,1.21211
19.95465,0.95461,1.31797
17.60652,9.3393,1.08237
15.51225,1.72028,1.18581
16.31204,6.86747,1.45609
17.18026,2.4546,1.03953
13.52093,8.70812,1.02559
13.19824,2.75519,1.42275
18.07074,7.88624,1.38331
11.72706,0.70976,1.39561
13.22148,8.35366,1.15744
16.01656,6.01848,1.42935
18.57024,3.83825,1.12391
10.41636,7.07745,1.02231
10.32986,3.76234,1.34875
18.14693,9.48507,1.27315
14.70266,3.30496,1.4878
11.54302,5.57088,1.30977
13.13231,5.9354,1.38962
16.09978,8.77669,1.2759
11.34384,1.35334,1.11965
11.26003,9.27244,1.28973
19.04309,9.79984,1.16041
19.96756,1.42981,1.34852
11.7764,7.34081,1.33631
16.99345,1.82441,1.24
10.94058,9.41179,1.27338
12.0119,4.04855,1.20392
10.08939,5.03018,1.1584
15.21239,7.79061,1.30352
11.30648,9.33166,1.37203
10.0894,4.79382,1.48871
13.5288,8.75158,1.00693
15.95691,2.98252,1.06122
16.63401,7.42353,1.24085
11.31897,2.5639,1.37008
13.24576,8.03272,1.23903
11.2218,0.44092,1.11255
16.27576,1.60104,1.39755
16.03295,3.12238,1.47726
16.84108,3.83964,1.22001
15.92,9.40503,1.25299
16.36125,6.46429,1.03248
17.5708,4.90558,1.24082
11.21902,7.51086,1.4327
10.85444,5.86545,1.11906
16.09876,6.18488,1.49413
14.40281,5.66215,1.35866
15.43867,6.25208,1.1735
14.55507,9.45981,1.20551
19.92116,1.3673,1.45483
16.10611,2.30964,1.03333
12.97784,7.3392,1.28946
13.80251,4.57433,1.19219
19.60619,8.58764,1.3708
11.82707,2.91803,1.37393
15.08109,0.71808,1.21335
16.07243,3.62405,1.3934
13.13925,9.47141,1.44284
15.57359,5.13429,1.17581
11.45264,3.78234,1.28628
11.60289,5.93019,1.35345
15.96285,7.51199,1.11869
19.4242,3.21659,1.30099
12.29854,7.38537,1.42131
12.24677,3.70812,1.29639
10.64248,3.17346,1.14691
13.0745,3.17948,1.45648
12.63309,1.9151,1.3478
11.10508,7.25263,1.06911
13.48952,6.74767,1.0122
19.38384,6.71024,1.28562
19.9454,6.34054,1.32014
10.91418,2.75028,1.28682
12.8152,1.94036,1.24726
14.44719,9.26211,1.3945
14.39507,7.39242,1.06668
18.75017,0.35966,1.07952
13.00283,8.34991,1.17143
12.22947,6.39255,1.37269
16.00344,1.29979,1.05382
17.0507,4.96288,1.35003
17.05271,3.30934,1.01798
10.03479,6.29128,1.26609
18.99715,4.54983,1.39977
15.0121,1.47415,1.31739
15.47144,4.8852,1.49937
17.99931,5.97974,1.06841
12.88471,9.24237,1.47286
19.06857,2.19317,1.2629
17.89998,3.76753,1.11299
13.91572,3.30603,1.15331
18.70349,4.62832,1.08647
12.88968,2.75307,1.17986
16.08595,0.45153,1.01071
11.10782,5.55588,1.42766
10.96358,8.64883,1.29808
12.06744,1.27078,1.33357
18.86344,4.84712,1.15208
19.22788,9.2853,1.32012
10.1417,0.36172,1.1106
10.68938,5.68602,1.11004
13.52406,8.38799,1.03043
12.96558,9.63765,1.45245
17.09269,5.76186,1.38673
16.70331,3.81495,1.12506
10.77887,1.55478,1.08399
15.03159,1.42826,1.19389
13.90609,2.69972,1.43735
14.1168,6.52368,1.22572
11.21321,1.3114,1.03376
18.91372,5.3017,1.4896
18.7791,7.9329,1.41092
14.89132,3.11588,1.20689
11.17387,0.0823,1.40897
15.95627,9.95267,1.26589
14.90877,5.33962,1.19188
18.06163,9.28306,1.13297
18.46264,1.55514,1.0224
11.98177,9.79512,1.34545
14.40869,8.46543,1.45147
19.78953,3.57108,1.12632
17.84425,7.22672,1.10912
19.63771,9.71814,1.37157
12.73118,3.94765,1.02952
10.2239,2.88808,1.38782
12.45656,3.04312,1.1669
10.19966,5.7169,1.27616
11.96546,5.94103,1.06222
14.86463,2.97895,1.03361
16.82567,9.21671,1.16069
10.78019,7.49614,1.11029
10.78716,6.49584,1.17601
11.74866,5.04319,1.47089
10.23447,1.98426,1.09582
16.57196,6.51671,1.29568
16.211,9.63448,1.4846
17.95903,7.10737,1.10411
13.36175,5.11143,1.06476
14.2007,9.86206,1.00283
15.43294,2.58858,1.06304
14.00258,2.75411,1.43365
13.51779,1.92972,1.30833
13.13822,7.72744,1.33657
14.71131,0.4036,1.46978
13.52576,7.91614,1.43637
16.51937,3.73669,1.32466
15.32932,6.68344,1.23705
10.53814,4.38911,1.04749
14.07068,3.57539,1.37328
15.59781,8.63956,1.00967
10.48399,5.60611,1.13995
13.80215,1.3149,1.38495
12.3565,1.29745,1.45367
10.47267,5.9221,1.1872
13.74003,6.20116,1.4351
11.26087,6.82701,1.33779
19.48048,2.21003,1.22894
16.18341,1.64508,1.30351
16.56494,8.92291,1.04969
14.47888,1.16972,1.41219
15.95285,8.36481,1.29248
12.85872,7.32376,1.20896
16.14906,7.45426,1.46784
18.80827,2.93601,1.46382
10.40537,7.49197,1.20215
11.83312,6.4469,1.33514
14.09754,1.89217,1.07805
16.55247,7.68566,1.4931
19.85289,8.59865,1.21865
12.60965,7.12103,1.30989
13.15717,1.01014,1.34285
18.21847,6.974,1.13886
19.14325,0.56944,1.02043
14.23711,1.55427,1.10078
17.12845,2.32513,1.11462
11.19542,7.44357,1.05106
16.53268,9.78818,1.02134
19.18338,7.91587,1.09662
13.40374,0.5793,1.10596
14.85292,2.27106,1.27943
14.88535,5.61636,1.14768
10.03477,0.75067,1.37278
19.94215,2.83825,1.08507
18.0173,3.22931,1.19147
10.96929,5.38211,1.04026
11.26561,2.25273,1.10863
19.17452,4.57609,1.49118
19.15741,5.257,1.30493
16.80984,6.32418,1.00484
11.54213,9.10113,1.2105
16.13859,8.62679,1.2957
19.31464,5.76704,1.04956
10.14992,1.91367,1.17288
19.72435,5.45539,1.11831
12.16126,7.77799,1.10486
15.28019,3.64335,1.11347
12.23159,8.793,1.47773
11.12033,5.4908,1.12188
12.70319,6.20957,1.45359
15.51322,8.48046,1.27604
18.65634,4.77258,1.24908
12.44366,2.75784,1.12757
16.82982,6.67506,1.21906
13.36652,1.45447,1.19202
11.17384,4.63413,1.11536
15.37045,4.68555,1.0916
13.78728,2.50094,1.49381
12.78536,1.11227,1.48033
14.42383,7.90898,1.34708
16.11702,9.27354,1.49324
18.30711,4.20115,1.23397
18.90357,8.21926,1.37406
12.28286,0.28133,1.42868
16.30086,3.35235,1.00299
13.84489,2.4425,1.40287
14.08443,2.39228,1.07358
10.80994,7.17052,1.1841
11.8884,1.70473,1.3475
12.15642,0.1671,1.28203
14.01466,4.90391,1.18912
14.32992,7.72625,1.28916
11.41912,3.4804,1.48073
15.59969,8.30035,1.32758
16.45395,3.49249,1.37394
17.4766,5.93053,1.2526
17.01799,2.62962,1.10994
12.93606,6.73559,1.11344
14.03781,8.71827,1.08714
14.17914,0.3482,1.27009
14.14779,5.40693,1.23536
13.90651,6.21422,1.14797
18.88456,4.99004,1.26022
15.59578,0.26202,1.39687
10.17497,3.53003,1.25856
15.80783,7.60207,1.02699
11.46689,0.52198,1.08669
17.94355,3.27371,1.08177
10.81341,0.9542,1.38997
10.80134,0.5717,1.32459
14.97647,7.53354,1.41787
15.98706,9.39296,1.22102
19.89667,2.33763,1.42625
18.10085,0.74966,1.48707
17.79901,6.29264,1.42248
12.49105,5.59149,1.19201
18.5156,3.09451,1.2302
17.25892,7.09401,1.00043
11.78719,8.0886,1.11819
15.56042,1.96737,1.41707
19.59828,1.26225,1.2122
18.2479,8.00168,1.04229
16.9274,3.3525,1.12637
14.39422,2.36056,1.35005
12.1707,2.10624,1.1961
10.05294,9.94232,1.13526
10.04777,3.48156,1.29547
13.20524,0.98678,1.09307
11.62193,1.76711,1.43734
18.20722,4.21897,1.03899
18.16022,2.62585,1.27071
16.02079,4.14692,1.1159
19.35946,7.61663,1.076
15.95259,3.50306,1.08747
19.99596,3.75956,1.18351
16.62092,5.29909,1.05039
15.58126,2.23803,1.34498
18.95683,1.97207,1.35066
12.16385,4.51471,1.25601
10.74409,8.75329,1.15804
11.25311,1.40489,1.49796
16.80276,6.43098,1.13434
18.46955,7.91431,1.12468
19.64978,5.49852,1.36207
16.5617,0.68159,1.23479
12.97911,8.59592,1.36102
10.51819,9.61911,1.43249
17.57907,9.32633,1.06896
16.54179,9.86418,1.49755
18.10017,9.23562,1.06079
16.41159,7.91166,1.48481
19.34667,5.99274,1.43827
15.22198,5.8835,1.23603
16.33689,4.22587,1.13171
13.99706,0.76726,1.11034
10.21603,6.20117,1.48728
17.02353,9.46435,1.02783
18.15014,6.35347,1.18321
13.02746,6.29605,1.29313
11.56411,8.68856,1.2288
16.41199,1.77033,1.38689
13.84528,8.83401,1.32725
14.89581,6.02299,1.49389
16.18324,3.88876,1.17004
16.896,8.32933,1.01448
19.69658,7.19986,1.06902
11.22291,0.44507,1.22161
18.88337,3.02012,1.20992
19.01383,4.78075,1.46378
15.21425,9.81667,1.48315
10.30363,6.87682,1.46426
14.4075,3.46433,1.35619
12.93261,8.52775,1.42758
13.11837,8.78971,1.36675
14.71465,1.92377,1.21086
17.62622,1.2464,1.43607
16.37376,6.30933,1.43351
19.61864,3.11187,1.02637
12.30533,9.44528,1.41919
17.48314,5.9566,1.48555
15.01761,9.75836,1.25496
17.72378,2.66052,1.13505
16.09961,0.88461,1.2599
11.463,3.12217,1.08982
13.8211,4.90541,1.03275
12.28034,3.46676,1.08023
19.15262,3.5251,1.1586
15.53158,3.99803,1.3378
12.35114,6.45628,1.18675
13.12167,3.73627,1.26554
10.89436,0.78566,1.37195
14.6175,8.6837,1.28892
11.67637,1.91357,1.04485
10.56234,2.79697,1.1183
16.73931,4.3131,1.41787
11.40586,0.18141,1.25607
15.67666,2.56815,1.11404
17.34263,2.92963,1.24619
19.25809,7.77901,1.42724
14.46412,0.51599,1.38874
12.12179,3.18078,1.22545
16.75072,6.45811,1.25994
19.14898,6.84563,1.04908
18.89297,1.21312,1.18157
14.71442,6.92313,1.08981
12.42449,9.91548,1.35111
12.36218,5.67627,1.16535
13.82033,8.87802,1.24689
13.02334,7.45841,1.4276
14.78912,3.45169,1.01395
11.93245,4.24882,1.23204
14.17129,7.63051,1.29251
11.36336,0.09698,1.17719
15.60946,9.23314,1.3778
19.87754,8.70362,1.26252
10.06847,4.56411,1.43507
10.13026,4.01916,1.45076
16.72249,9.26179,1.48871
16.27733,3.72396,1.08446
11.13243,3.97521,1.44783
10.16461,9.94543,1.40554
16.95637,4.27579,1.35164
11.61986,2.56724,1.29175
11.05354,5.97943,1.00504
15.80729,2.72607,1.2367
10.2963,9.75016,1.23636
10.09317,4.9922,1.46801
12.29615,6.14444,1.07501
15.81863,3.56095,1.07004
14.50645,2.5629,1.17633
19.093,2.20811,1.46069
14.00492,8.55527,1.04788
13.48327,8.86102,1.28298
18.26407,2.71779,1.44467
11.81785,7.30857,1.06018
15.42533,2.68252,1.4233
16.44776,6.02718,1.38333
10.73084,3.1276,1.46474
13.6518,8.76813,1.01372
17.9266,0.05841,1.24863
14.13921,1.23118,1.44066
16.56851,8.37533,1.07143
18.71399,9.44829,1.46147
17.47283,9.84658,1.36373
10.56019,4.36926,1.46607
15.61769,5.52418,1.28656
12.81541,7.72694,1.41422
10.0976,6.45053,1.13369
19.01996,7.43889,1.13859
16.00633,3.84633,1.07892
15.78139,7.22254,1.01896
18.57937,2.57351,1.49247
18.83461,9.84227,1.30859
14.33373,7.47675,1.29722
13.71782,2.29927,1.19136
12.92736,9.16584,1.22777
11.52473,0.16245,1.01239
19.20306,0.82379,1.16843
10.08058,5.43665,1.17276
11.26823,8.71075,1.33518
14.85513,5.84722,1.2244
12.44467,6.11524,1.00219
15.06671,8.90904,1.48481
12.36574,5.38659,1.11149
12.67682,2.72399,1.23077
10.56206,2.18232,1.03824
14.78018,2.09579,1.11966
19.85287,3.37536,1.17829
11.26233,5.2578,1.02716
17.27373,2.43003,1.41278
13.94969,4.96099,1.46201
19.02318,2.72606,1.94705
13.24548,0.46121,1.79548
11.99965,2.58426,1.94211
16.54077,7.97668,1.78367
12.02291,2.24869,1.89136
19.78331,5.3881,1.78941
14.1392,5.19883,1.61952
17.77811,4.54196,1.57396
18.88707,7.7794,1.85951
12.10673,9.85624,1.5911
18.61978,7.42982,1.93445
16.74645,0.15166,1.69855
14.48456,8.12549,1.7582
13.65976,0.1042,1.5677
16.7702,3.92428,1.85014
11.44906,3.98997,1.72438
13.21654,9.84918,1.99393
13.60345,3.15148,1.56343
10.69712,2.62118,1.5753
18.71252,6.19579,1.79074
11.55204,6.14994,1.67515
19.95188,5.10129,1.81934
18.27617,5.09778,1.75204
14.04413,6.22369,1.797
14.92261,6.48227,1.52209
12.87767,6.33172,1.60243
11.67836,7.99606,1.60226
17.87241,0.9773,1.87827
11.11111,2.90124,1.8709
10.45822,4.05165,1.83903
13.49793,3.80713,1.79285
10.42938,8.8565,1.76881
15.3312,0.03415,1.63727
